study_key,pmid,doi,year,journal,venue_community,rule
S197,37604079.0,10.1016/j.neunet.2023.08.004,2023,Neural networks : the official journal of the International Neural Network Society,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S198,38043105.0,10.1002/mp.16850,2024,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S199,37877463.0,10.1002/jmri.29088,2024,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S200,38808752.0,10.1002/nbm.5179,2024,NMR in biomedicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S201,37665773.0,10.1002/mp.16724,2024,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S202,37864370.0,10.1002/jmri.29072,2024,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S203,,10.1109/access.2024.3364699,2024,IEEE Access,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S204,39887812.0,10.1002/jmri.29682,2025,Journal of magnetic resonance imaging : JMRI,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S205,39424209.0,10.1016/j.mri.2024.110252,2025,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S206,39290071.0,10.1002/mrm.30278,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S207,40436128.0,10.1016/j.neuroimage.2025.121297,2025,NeuroImage,general_neuroscience,keyword match on journal title; see 5_Code/venue_classification.py
S208,40915097.0,10.1016/j.cmpb.2025.109045,2025,Computer methods and programs in biomedicine,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S209,39847946.0,10.1016/j.compbiomed.2025.109660,2025,Computers in biology and medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S210,40275620.0,10.1002/mrm.30512,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S211,39233495.0,10.1002/mrm.30266,2025,Magnetic resonance in medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S212,40089979.0,10.1002/mp.17747,2025,Medical physics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S213,40639972.0,10.3174/ajnr.a8728,2025,AJNR. American journal of neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S214,,10.1007/s10586-026-06180-z,2026,Cluster Computing,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S215,40758495.0,10.1109/tmi.2025.3595421,2026,IEEE transactions on medical imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S216,41794343.0,10.1016/j.mri.2026.110656,2026,Magnetic resonance imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S217,40945172.0,10.1016/j.media.2025.103763,2026,Medical image analysis,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S218,,10.1109/tmi.2026.3673956,2026,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S219,,10.3390/magnetochemistry12010014,2026,MAGNETOCHEMISTRY,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S220,,10.1109/access.2026.3712275,2026,IEEE Access,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S221,,10.1117/12.845507,2010,SPIE Proceedings,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S222,,10.1002/jmri.25149,2016,Journal of Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S223,,10.1016/j.mri.2016.11.020,2017,Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S224,,10.1016/j.mri.2017.07.016,2017,Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S225,,10.1002/jmri.25970,2018,Journal of Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S226,,10.1007/s00330-019-06319-0,2019,European Radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S227,,10.1002/mrm.27894,2019,Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S228,,10.1109/lsp.2019.2961072,2019,IEEE Signal Processing Letters,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S229,,10.1109/tmi.2019.2896085,2019,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S230,,10.1016/j.mri.2020.05.002,2020,Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S231,,10.1109/tmi.2020.2987026,2020,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S232,,10.1002/mrm.28526,2021,Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S233,,10.1007/978-3-030-87234-2/46,2021,"MICCAI 2021, LNCS 12907",engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S234,,10.1109/embc46164.2021.9630596,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S235,,10.1109/embc46164.2021.9630435,2021,2021 43rd Annual International Conference of the IEEE Engineering in Medicine &amp; Biology Society (EMBC),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S236,,10.1007/s00234-022-03053-1,2022,Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S237,,10.1002/mrm.29314,2022,Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S238,,10.1016/j.jmr.2022.107301,2022,Journal of Magnetic Resonance,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S239,,10.1117/12.2622233,2022,Real-Time Image Processing and Deep Learning 2022,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S240,,10.1007/s00234-023-03212-y,2023,Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S241,,10.1007/s10334-023-01142-7,2023,"Magnetic Resonance Materials in Physics, Biology and Medicine",clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S242,,10.1109/tim.2024.3481545,2024,IEEE Transactions on Instrumentation and Measurement,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S243,,10.1109/tmi.2024.3523949,2024,IEEE Transactions on Medical Imaging,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S244,,10.1109/iccit62134.2024.10701250,2024,2024 3rd International Conference on Creative Communication and Innovative Technology (ICCIT),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S245,,10.1109/jbhi.2025.3586049,2025,IEEE Journal of Biomedical and Health Informatics,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S246,,10.1007/s00247-025-06314-2,2025,Pediatric Radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S247,,10.1109/conecct65861.2025.11306510,2025,"2025 IEEE International Conference on Electronics, Computing and Communication Technologies (CONECCT)",engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S248,,10.3174/ajnr.a8841,2025,American Journal of Neuroradiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S249,,10.1109/icicis66182.2025.11313176,2025,2025 Twelfth International Conference on Intelligent Computing and Information Systems (ICICIS),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S250,,10.1109/tbme.2025.3543403,2025,IEEE Transactions on Biomedical Engineering,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S251,,10.1007/978-981-96-6957-8/25,2025,"ICONIP 2024, CCIS 2285",unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S252,,10.1016/j.mri.2025.110427,2025,Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S253,,10.1016/j.ejrad.2025.112289,2025,European Journal of Radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S254,,10.1016/j.jmr.2025.107898,2025,Journal of Magnetic Resonance,unclassified,keyword match on journal title; see 5_Code/venue_classification.py
S255,,10.1016/j.mri.2025.110463,2025,Magnetic Resonance Imaging,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S256,,10.1002/mrm.30271,2025,Magnetic Resonance in Medicine,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S257,,10.1016/j.ejrad.2025.112497,2026,European Journal of Radiology,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S258,,10.1007/s10278-026-02059-y,2026,Journal of Imaging Informatics in Medicine,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S259,,10.3174/ajnr.a8992,2026,AJNR Am J Neuroradiol,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S260,,10.1109/icici68773.2026.11580971,2026,2026 4th International Conference on Inventive Computing and Informatics (ICICI),engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S261,,10.3174/ajnr.a9140,2026,AJNR Am J Neuroradiol,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S262,,10.3174/ajnr.a9097,2026,AJNR Am J Neuroradiol,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
S263,,10.1016/j.bspc.2026.110600,2026,Biomedical Signal Processing and Control,engineering_methods,keyword match on journal title; see 5_Code/venue_classification.py
S264,,10.3174/ajnr.a8977,2026,AJNR Am J Neuroradiol,clinical_imaging,keyword match on journal title; see 5_Code/venue_classification.py
