study_key,title,domain,AI rating,verbatim quote,AI rationale,quote verified?,rater
S257,Accurate multi-b-value DWI generation using two-stage deep learning mu,app_index_test,High,"the final system can synthesize accurate and consistent DWI images across both training and clinically relevant arbitrary b-values (e.g., b = 75, 850)","Arbitrary-b-value DWI synthesis is a generative image-translation task, not the DL-accelerated reconstruction of undersampled brain MRI targeted by the review.",yes (exact substring),claude_preliminary
S257,Accurate multi-b-value DWI generation using two-stage deep learning mu,app_reference_standard,Low,"To ensure comparability between real DWI and synthetic DWI, we calculated ADC using a completely consistent monoexponential model fitting process on both","Where a reference exists it is the actually acquired DWI with identical monoexponential ADC fitting, which matches clinical quantitative practice.",yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,rob_patient_selection,High,the retrospective design may introduce selection bias and restrict reproducibility across heterogeneous clinical settings,"Single-centre retrospective selection excluded solitary lesions under 2 mm and poor-quality scans without any stated consecutive or random sampling, a risk the authors themselves acknowledge.",yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,rob_index_test,High,This study investigated the technical feasibility of generating synthetic contrast-enhanced T1-weighted (CE-T1) and FLAIR (CE-FLAIR) images from noncontrast T1- and T2-weighted MRI,"Per this review's rule the index test is cross-contrast synthesis of contrast-enhanced images from noncontrast T1/T2 inputs, not reconstruction from undersampled k-space, so the domain is rated High.",yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,rob_reference_standard,High,"However, the use of only JPEG images could potentially affect density scaling and detail resolution.","The ground-truth contrast-enhanced images were stored and processed as lossy JPEGs rather than DICOM, degrading the reference, and no lesion-level false-negative analysis was performed.",yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,rob_flow_timing,Unclear,"Images from 25 randomly selected participants were included, comprising CE-T1 images from 15 participants and CE-FLAIR images from 10 participants.","The visual Turing test used 15 CE-T1 participants although the held-out T1 test split contained only 8, and the data split from which reader-test images were drawn is not stated.",yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,app_patient_selection,Low,This retrospective study included brain MRI scans acquired between January 2023 and April 2025 using a 3.0 Tesla (3 T) scanner,Adults undergoing clinical 3T brain MRI for brain metastases match the review's clinical brain-MRI population.,yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,app_index_test,High,"A GAN framework, referred to as BrainGAN, was developed to synthesize CE-MRI from high-resolution (1980 × 1024 pixels) noncontrast brain MRI in patients with BM",GAN-based contrast synthesis from fully noncontrast images falls outside the review's target of DL-accelerated reconstruction of undersampled brain MRI.,yes (exact substring),claude_preliminary
S258,BrainGAN Framework for Generating Synthetic Contrast-Enhanced Multiseq,app_reference_standard,Low,"A random GBCA (gadobutrol [Gadovist, Bayer] or gadoterate meglumine [Dotarem, Guerbet]) was administered (0.1 mmol/kg, 2.5 mL/s).",The comparator is standard-dose gadolinium-enhanced CE-T1 and CE-FLAIR imaging acquired per routine clinical protocol.,yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,rob_patient_selection,Low,"From October to December 2023, 115 consecutive adult patients undergoing brain MRI with and without contrast on 3T MRI scanners (Magnetom Vida, Siemens Healthineers) were recruited in an outpatient setting.",Consecutive adult outpatients were prospectively recruited over a defined three-month window with prespecified inclusion and exclusion criteria.,yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,rob_index_test,Low,"Two independent neuroradiologists with 13 and 6 years of experience, respectively, conducted a blinded, randomized head-tohead comparison of the 2 sequences.","Readers were blinded on anonymized images with randomized presentation and a previously published prespecified scale, with third-reader adjudication of discrepancies.",yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,rob_reference_standard,High,demonstrated noninferior image quality compared with the clinically validated Wave-CAIPI T1-MPRAGE accelerated sequence,"The comparator is itself a highly accelerated Wave-CAIPI sequence with identical 2:11-minute acquisition time rather than a fully sampled conventional MPRAGE, and no independent standard verified lesion status.",yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,rob_flow_timing,Low,"One hundred fifteen patients (68 women/47 men, mean age: 54 6 10 years) were recruited.",Both sequences were acquired within the same examination for every patient and all 115 recruited patients were included in the head-to-head analysis.,yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,app_patient_selection,Low,"The inclusion criteria were referrals for outpatient brain MRI for evaluation of brain tumors and metastases, infectious/inflammatory disease, and other conditions requiring 3D postcontrast T1-weighted imaging.",Adult outpatients undergoing routine contrast-enhanced brain MRI for diverse indications match the review's clinical brain-MRI population.,yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,app_index_test,Low,"The first step, inspired by variational networks, involved 6 iterations alternating between data consistency updates and neural network evaluation.","The index test is an unrolled variational-network reconstruction of undersampled k-space (plus super-resolution) for accelerated 3D brain MRI, matching the review question.",yes (exact substring),claude_preliminary
S259,Clinical Validation of Deep Learning-Accelerated versus Wave-CAIPI Pos,app_reference_standard,Unclear,a WaveCAIPI MPRAGE sequence that has been validated and implemented at our institution,The reference reflects a single institution's accelerated Wave-CAIPI standard of care rather than the conventional fully sampled MPRAGE used in wider practice.,yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,rob_patient_selection,Low,A total of 76 patients were consecutively included between September 2023 and February 2024. None were excluded from the study.,All adult MS patients scheduled for follow-up brain MRI were consecutively included over the study period with none excluded.,yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,rob_index_test,Low,"All examinations were anonymized and randomized before assessment. The analysis was performed independently by 2 blinded radiologists, 1 junior and 1 neuroradiologist with expertise in MS (8 years of experience).",Examinations were anonymized and randomized and two blinded radiologists rated images independently on a prespecified 5-point Likert scale.,yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,rob_reference_standard,Unclear,both radiologists separately reviewed the Ref and FLAIR DLR sequences side by side,"The conventional FLAIR is an adequate comparator, but lesion discrepancies were adjudicated by side-by-side reading of both sequences without independent lesion-level annotation, so reference interpretation was not blind to the index test.",yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,rob_flow_timing,Low,All analyses were performed on complete cases because no missing data were observed.,"Every patient underwent both sequences in the same session, all 76 consecutive patients were analyzed, and no missing data occurred.",yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,app_patient_selection,Low,including all patients 18 year of age or older with a confirmed diagnosis of MS and scheduled for brain MRI as part of their clinical follow-up,Adults with confirmed MS undergoing routine clinical follow-up brain MRI directly match the review's clinical brain-MRI population.,yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,app_index_test,Low,This network takes undersampled k-space data and precomputed coil sensitivity maps as input and iteratively generates images through alternating steps of data consistency—based on parallel imaging—and neural network–driven image enhancement.,"The index test reconstructs undersampled k-space with an unrolled variational network for accelerated 3D FLAIR, squarely within the review's scope.",yes (exact substring),claude_preliminary
S261,Deep Learning-Accelerated 3D FLAIR Enables Reliable MS Lesion Detectio,app_reference_standard,Low,with the same spatial resolution and technical parameters as the reference sequence (Ref FLAIR),"The reference is the conventional clinical 3D FLAIR sequence with identical spatial and contrast parameters, matching routine MS imaging practice.",yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,rob_patient_selection,Low,"A PACS-based query was performed to retrieve all cases of IC-VWI performed on the 7T MRI system between March 1, 2025, and July 31, 2025.",Enrolment was defined by a complete PACS query of all 7T vessel-wall studies within a five-month window rather than purposive selection.,yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,rob_index_test,Low,Both readers were blinded to clinical information and to the identity of the imaging sequence.,"Readers were blinded to sequence identity and clinical information, presentation order was randomized, and prespecified 4-point Likert criteria were used.",yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,rob_reference_standard,Low,besides a product postcontrast T1-weighted SPACE (T1-SPACESOC),The comparator is the commercial product standard-of-care T1-SPACE acquired in the same session and read under identical blinded conditions.,yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,rob_flow_timing,Unclear,"Out of these, 6 were excluded because of considerable motion, and 4 did not have the T1-SPACEDL sequence performed",Ten of 46 eligible patients (22%) were excluded for motion or a missing index sequence and 28 pathology-affected or hypoplastic segment pairs were also removed from analysis.,yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,app_patient_selection,Low,"36 patients (21 women; mean age, 53.3 6 16.2 years) underwent IC-VWI at 7T using both SOC T1-SPACE and DLBIR-accelerated T1-SPACE sequences","Clinical patients with diverse cerebrovascular indications undergoing intracranial vessel-wall brain MRI fit the review population, albeit at 7T.",yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,app_index_test,Low,The DLBIR sequence employed an unrolled variational network that was provided by the vendor as a research application.,"The index test is a vendor unrolled variational-network reconstruction enabling higher CAIPIRINHA undersampling (12 vs 9), matching the review's accelerated-reconstruction scope.",yes (exact substring),claude_preliminary
S262,Deep-Learning Accelerated Vessel Wall Imaging Using T1-SPACE at Ultra-,app_reference_standard,Low,The acquisition time for T1-SPACESOC was 7minutes 30 seconds and for T1-SPACEDL it was 6minutes.,"The reference is the routinely used product standard-of-care sequence with the institution's standard 7:30-minute protocol, consistent with clinical practice.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,rob_patient_selection,Unclear,"For the clinical cohort, adult patients referred for memory loss protocol brain MRI were prospectively enrolled between January and August 2023.","Clinical patients were prospectively enrolled but no consecutive or random sampling rule is reported, and the study is a targeted re-analysis of a previously published dataset plus an instructed-motion volunteer cohort.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,rob_index_test,Low,independently rated the reconstructed images in a blinded and randomized fashion,De-identified images were rated blinded and randomized per patient in two separated sessions using a prespecified 5-point Likert scale.,yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,rob_reference_standard,Low,"In addition, a motion-free scan was acquired for each subject and was used as the reference standard.","A per-subject motion-free acquisition served as the morphometric reference standard, and the clinical arm was compared against the standard-of-care reconstruction under blinded reading.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,rob_flow_timing,Low,All acquisitions were reconstructed by using a sensitivityencoding (SENSE)–based reconstruction (standard of care),"All reconstruction conditions were generated from the same acquisitions, and all 41 enrolled participants (154 volumes) were included in the analysis.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,app_patient_selection,Low,"This prospective, intraindividual comparison study included a controlled-motion cohort of healthy volunteers and a clinical cohort of patients undergoing evaluation for memory loss.","The reader-rated cohort comprises real-world memory-loss patients undergoing clinical brain MRI, matching the review, with healthy volunteers used only for the morphometric arm.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,app_index_test,Low,All participants underwent 4-fold undersampled 3D MPRAGE with an integrated scout accelerated motion estimation and reduction (SAMER) acquisition.,"The index test is a motion-informed variational-network reconstruction of 4-fold undersampled 3D MPRAGE k-space, directly within the review's scope.",yes (exact substring),claude_preliminary
S264,Motion-Informed 3D Deep Learning Reconstruction in Patients with Cogni,app_reference_standard,Low,Image volumes were reconstructed by using standard of care methods and the proposed DL approach.,"References are the routine SENSE standard-of-care reconstruction and motion-free scans, both consistent with clinical practice.",yes (exact substring),claude_preliminary
