file,pmid,doi,decision,confidence,reason_label,primary_reason,picos_population,picos_intervention,picos_comparator,picos_outcome,picos_study_design,evidence_spans
2005 - Experience in implementing continuous arterial spin labeling on a commercial MR scanner. - PMID 15770200.md,15770200,10.1120/jacmp.v6i1.2068,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Experience in implementing continuous arterial spin labeling on a commercial MR scanner.
2005 - Experimental analysis of parallel excitation using dedicated coil setups and simultaneous RF transmission on multiple ch - PMID 16155886.md,16155886,10.1002/mrm.20646,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Experimental analysis of parallel excitation using dedicated coil setups and simultaneous RF transmi
2005 - Exploiting temporal information in functional magnetic resonance imaging brain data. - PMID 16685905.md,16685905,10.1007/11566465_84,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Exploiting temporal information in functional magnetic resonance imaging brain data.
2005 - Extensive cerebrospinal fluid enhancement following gadolinium chelate administration possible pathogenesis. - PMID 16224930.md,16224930,10.1080/02841850510021472,exclude,0.9,out_of_scope,Purely clinical/diagnostic or neuroscience study with no technical contribution to reconstruction safety/fidelity evaluation.,"Clinical/diagnostic or cognitive neuroscience study, not a reconstruction method or its safety evaluation.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Extensive cerebrospinal fluid enhancement following gadolinium chelate administration: possible path
2005 - Extrapolation of sparse tensor fields application to the modeling of brain variability. - PMID 17354682.md,17354682,10.1007/11505730_3,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Extrapolation of sparse tensor fields: application to the modeling of brain variability.
2005 - Fast and simple calculus on tensors in the log-Euclidean framework. - PMID 16685836.md,16685836,10.1007/11566465_15,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fast and simple calculus on tensors in the log-Euclidean framework.
2005 - Fast frequency selective MR imaging. - PMID 16214607.md,16214607,10.1016/j.mri.2005.06.006,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fast frequency selective MR imaging.
2005 - Fast high-resolution T1 mapping of the human brain. - PMID 15968665.md,15968665,10.1002/mrm.20552,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fast high-resolution T1 mapping of the human brain.
2005 - Fast method for brain image segmentation application to proton magnetic resonance spectroscopic imaging. - PMID 16187272.md,16187272,10.1002/mrm.20657,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fast method for brain image segmentation: application to proton magnetic resonance spectroscopic ima
2005 - Fast orientation mapping from HARDI. - PMID 16685841.md,16685841,10.1007/11566465_20,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fast orientation mapping from HARDI.
2005 - Feasibility of application of sensitivity encoding to the breath-hold T2-weighted turbo spin-echo sequence for evaluatio - PMID 15671370.md,15671370,10.2214/ajr.184.2.01840497,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Feasibility of application of sensitivity encoding to the breath-hold T2-weighted turbo spin-echo se
"2005 - Feasibility of combining MR perfusion, angiography, and 3He ventilation imaging for evaluation of lung function in a por - PMID 15721597.md",15721597,10.1016/j.acra.2004.11.021,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.","Feasibility of combining MR perfusion, angiography, and 3He ventilation imaging for evaluation of lu"
"2005 - Feasibility of in vivo, multicontrast-weighted MR imaging of carotid atherosclerosis for multicenter studies. - PMID 15906345.md",15906345,10.1002/jmri.20308,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.","Feasibility of in vivo, multicontrast-weighted MR imaging of carotid atherosclerosis for multicenter"
2005 - Fiber tracking in q-ball fields using regularized particle trajectories. - PMID 17354684.md,17354684,10.1007/11505730_5,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fiber tracking in q-ball fields using regularized particle trajectories.
2005 - Fiber tract-oriented statistics for quantitative diffusion tensor MRI analysis. - PMID 16685838.md,16685838,10.1007/11566465_17,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fiber tract-oriented statistics for quantitative diffusion tensor MRI analysis.
2005 - Field map estimation with a region growing scheme for iterative 3-point water-fat decomposition. - PMID 16142718.md,16142718,10.1002/mrm.20654,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Field map estimation with a region growing scheme for iterative 3-point water-fat decomposition.
2005 - Finding landmarks in the functional brain detection and use for group characterization. - PMID 16685994.md,16685994,10.1007/11566489_59,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Finding landmarks in the functional brain: detection and use for group characterization.
2005 - Finite element modeling of brain tumor mass-effect from 3D medical images. - PMID 16685871.md,16685871,10.1007/11566465_50,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Finite element modeling of brain tumor mass-effect from 3D medical images.
2005 - First results from the high-resolution mouseSPECT annular scintillation camera. - PMID 16011315.md,16011315,10.1109/tmi.2005.843782,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",First results from the high-resolution mouseSPECT annular scintillation camera.
2005 - Flattening maps for the visualization of multibranched vessels. - PMID 15707245.md,15707245,10.1109/tmi.2004.839368,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Flattening maps for the visualization of multibranched vessels.
2005 - Flow compensation in balanced SSFP sequences. - PMID 16142709.md,16142709,10.1002/mrm.20619,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Flow compensation in balanced SSFP sequences.
2005 - Flow-based fiber tracking with diffusion tensor and q-ball data validation and comparison to principal diffusion directi - PMID 16111897.md,16111897,10.1016/j.neuroimage.2005.05.014,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Flow-based fiber tracking with diffusion tensor and q-ball data: validation and comparison to princi
2005 - Follow-up gliomas after radiotherapy 1H MR spectroscopic imaging for increasing diagnostic accuracy. - PMID 16142479.md,16142479,10.1007/s00234-005-1434-0,exclude,0.9,out_of_scope,Purely clinical/diagnostic or neuroscience study with no technical contribution to reconstruction safety/fidelity evaluation.,"Clinical/diagnostic or cognitive neuroscience study, not a reconstruction method or its safety evaluation.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Follow-up gliomas after radiotherapy: 1H MR spectroscopic imaging for increasing diagnostic accuracy
2005 - Foundations of advanced magnetic resonance imaging - SPRINGER 10.1602_neurorx.2.2.167.md,,10.1602/neurorx.2.2.167,exclude,0.9,review_editorial_protocol_commentary,Narrative overview article on advanced MRI methods; not a primary methodological contribution to reconstruction safety/fidelity evaluation.,"General overview of advanced MRI techniques (diffusion, perfusion, fMRI).","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Foundations of advanced magnetic resonance imaging
"2005 - Fractional Gaussian noise, functional MRI and Alzheimer's disease. - PMID 15734351.md",15734351,10.1016/j.neuroimage.2004.10.044,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.","Fractional Gaussian noise, functional MRI and Alzheimer's disease."
2005 - Free breathing 3D balanced FFE coronary magnetic resonance angiography with prolonged cardiac acquisition windows and in - PMID 15723401.md,15723401,10.1002/mrm.20397,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Free breathing 3D balanced FFE coronary magnetic resonance angiography with prolonged cardiac acquis
2005 - Free-breathing renal magnetic resonance angiography with steady-state free-precession and slab-selective spin inversion - PMID 15844141.md,15844141,10.1002/mrm.20467,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Free-breathing renal magnetic resonance angiography with steady-state free-precession and slab-selec
2005 - Free-breathing whole-heart coronary MRA with 3D radial SSFP and self-navigated image reconstruction. - PMID 16032682.md,16032682,10.1002/mrm.20557,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Free-breathing whole-heart coronary MRA with 3D radial SSFP and self-navigated image reconstruction.
2005 - Frontal nonconvulsive status epilepticus manifesting somatic hallucinations. - PMID 15939437.md,15939437,10.1016/j.jns.2005.02.014,exclude,0.9,out_of_scope,Purely clinical/diagnostic or neuroscience study with no technical contribution to reconstruction safety/fidelity evaluation.,"Clinical/diagnostic or cognitive neuroscience study, not a reconstruction method or its safety evaluation.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Frontal nonconvulsive status epilepticus manifesting somatic hallucinations.
2005 - Frontal slab composite magnetic resonance neurography of the brachial plexus implications for infraclavicular block appr - PMID 16306735.md,16306735,10.1097/00000542-200512000-00017,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Frontal slab composite magnetic resonance neurography of the brachial plexus: implications for infra
2005 - Fully automatic segmentation of white matter hyperintensities in MR images of the elderly. - PMID 16129626.md,16129626,10.1016/j.neuroimage.2005.06.061,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fully automatic segmentation of white matter hyperintensities in MR images of the elderly.
2005 - Functional activity related to risk anticipation during performance of the Iowa Gambling Task. - PMID 15588617.md,15588617,10.1016/j.neuroimage.2004.08.028,exclude,0.9,out_of_scope,Purely clinical/diagnostic or neuroscience study with no technical contribution to reconstruction safety/fidelity evaluation.,"Clinical/diagnostic or cognitive neuroscience study, not a reconstruction method or its safety evaluation.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Functional activity related to risk anticipation during performance of the Iowa Gambling Task.
2005 - Functional cardiac CT and MR effects of heart rate and software applications on measurement validity. - PMID 15729117.md,15729117,10.1097/01.rti.0000154077.13947.8e,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Functional cardiac CT and MR: effects of heart rate and software applications on measurement validit
2005 - Functional connectivity during Stroop task performance. - PMID 15588609.md,15588609,10.1016/j.neuroimage.2004.08.033,exclude,0.9,out_of_scope,Purely clinical/diagnostic or neuroscience study with no technical contribution to reconstruction safety/fidelity evaluation.,"Clinical/diagnostic or cognitive neuroscience study, not a reconstruction method or its safety evaluation.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Functional connectivity during Stroop task performance.
2005 - Functional magnetic resonance imaging based on SEEP contrast response function and anatomical specificity. - PMID 16275422.md,16275422,10.1016/j.mri.2005.07.009,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Functional magnetic resonance imaging based on SEEP contrast: response function and anatomical speci
2005 - Fuzzy-rule-based image reconstruction for positron emission tomography. - PMID 16211802.md,16211802,10.1364/josaa.22.001763,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Fuzzy-rule-based image reconstruction for positron emission tomography.
2005 - Gd-EOB-DTPA enhanced MRI for hepatocellular carcinoma quantitative evaluation of tumor enhancement in hepatobiliary phas - PMID 16127248.md,16127248,10.2463/mrms.4.1,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Gd-EOB-DTPA enhanced MRI for hepatocellular carcinoma: quantitative evaluation of tumor enhancement 
2005 - Generalised overlap measures for assessment of pairwise and groupwise image registration and segmentation. - PMID 16685834.md,16685834,10.1007/11566465_13,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Generalised overlap measures for assessment of pairwise and groupwise image registration and segment
2005 - Generalized likelihood ratio tests for complex fMRI data a simulation study. - PMID 15889548.md,15889548,10.1109/tmi.2005.844075,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Generalized likelihood ratio tests for complex fMRI data: a simulation study.
2005 - Generating accurate finite element meshes for the forward model of the human head in EIT. - PMID 15798238.md,15798238,10.1088/0967-3334/26/2/024,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Generating accurate finite element meshes for the forward model of the human head in EIT.
2005 - Geodesic active contours with adaptive neighboring influence. - PMID 16686026.md,16686026,10.1007/11566489_91,exclude,0.9,wrong_intervention_or_index,"Classical (non-AI/ML) MRI/PET/SPECT acquisition, reconstruction, or image-analysis technique paper from the pre-deep-learning era; no reconstruction safety/fidelity evaluation via AI/M-LLM/causal/counterfactual methods.","Brain imaging but classical pulse-sequence/reconstruction/segmentation/registration technique, no AI/ML method.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Geodesic active contours with adaptive neighboring influence.
2005 - Geometric accuracy of magnetic resonance imaging of the mandibular nerve. - PMID 16120878.md,16120878,10.1259/dmfr/89236515,exclude,0.9,wrong_population,"Study concerns non-brain anatomy/organ imaging, outside the brain MRI reconstruction population of interest.","Non-brain anatomy (e.g., liver, prostate, cardiac, lung, kidney, neck, spine, joint), not brain MRI.","Not an AI/ML brain MRI reconstruction method with safety/fidelity evaluation (LLM-as-judge, causal discovery, counterfactual diffusion, or comparable baseline).",N/A,N/A,"Technical/methodological or clinical imaging study, 2005 era.",Geometric accuracy of magnetic resonance imaging of the mandibular nerve.
