row_id,year,title,journal,pmid,doi,sonnet5_decision,opus5_decision,fable5_decision,ai_consensus,recorded_decision,consensus_vs_recorded,unanimous_ai,sonnet5_reason,opus5_reason,fable5_reason
K123,2024,Deep learning-based super-resolution and denoising algorithm improves reliability of dynamic contrast-enhanced MRI in diffuse glioma.,Scientific reports,39455814,10.1038/s41598-024-76592-7,include,include,include,include,include,AGREE,yes,,,
K124,2021,Brain MR Image Segmentation using a Fast Fuzzy Clustering Approach,,,10.1109/icccnt51525.2021.9579961,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K125,2023,Deep learning study on the mechanism of edge artifacts in,Annals of Nuclear Medicine,,10.1007/s12149-023-01862-9,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K126,2025,Diagnosis of Sacroiliitis Through Semi-Supervised Segmentation and Radiomics Feature Analysis of MRI Images.,Journal of magnetic resonance imaging : JMRI,39912494,10.1002/jmri.29731,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K127,2019,Learning-based CBCT correction using alternating random forest based on auto-context model.,Medical physics,30471129,10.1002/mp.13295,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K128,2021,Simultaneous multi-slice image reconstruction using regularized image domain split slice-GRAPPA,Medical Image Analysis,,10.1016/j.media.2021.102000,include,include,include,include,exclude,DISAGREE,yes,,,
K129,2024,Diffusion based multi-domain neuroimaging harmonization method with preservation of anatomical details,NeuroImage,,10.48550/arxiv.2409.00807,unsure,unsure,unsure,unsure,include,,yes,,,
K130,2025,DenoiseMamba An Innovative Approach for EEG Artifact Removal Leveraging Mamba and CNN,,,10.1109/jbhi.2025.3573042,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K131,2019,Markerless high-frequency prospective motion correction for neuroanatomical MRI.,Magnetic resonance in medicine,30821010,10.1002/mrm.27705,include,include,include,include,exclude,DISAGREE,yes,,,
K132,2023,"High-fidelity, high-spatial-resolution diffusion magnetic resonance imaging of ex vivo whole human brain at ultra-high gradient strength with structured low-rank echo-planar imaging ghost correction.",NMR in biomedicine,36106429,10.1002/nbm.4831,include,include,include,include,include,AGREE,yes,,,
K133,2020,Detection of mesial temporal lobe epileptiform discharges on intracranial electrodes using deep learning.,Clinical neurophysiology,31760212,10.1016/j.clinph.2019.09.031,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K134,2025,Quantitative susceptibility mapping via deep neural networks with iterative reverse concatenations and recurrent modules.,Medical physics,40089979,10.1002/mp.17747,include,include,include,include,include,AGREE,yes,,,
K135,2026,Ultra-Fast Sub-Minute Brain MRI with Deep-Learning-reconstruction for Anesthesia-Free Emergency Imaging in Children,Clinical Neuroradiology,,10.1007/s00062-026-01627-7,include,include,include,include,include,AGREE,yes,,,
K136,2015,Image quality versus outcomes.,Journal of magnetic resonance imaging : JMRI,24677391,10.1002/jmri.24622,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K137,2026,AutoRDH-Net A Hybrid Autoencoder-LSTM Model for MRI Brain Tumor Image Analysis,,,10.1109/icbdml68582.2026.11544982,include,include,include,include,exclude,DISAGREE,yes,,,
K138,2018,Optimization of the reconstruction parameters in [123I]FP-CIT SPECT.,Physics in medicine and biology,29553048,10.1088/1361-6560/aab799,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K139,2023,Self-supervised MRI Reconstruction with Unrolled Diffusion Models,Medical Image Computing and Computer Assisted Intervention – MICCAI 2023,,10.1007/978-3-031-43999-5_47,include,include,include,include,include,AGREE,yes,,,
K140,2026,Combined angiography and perfusion using radial imaging and arterial spin labeling with structural contrast.,Magnetic resonance in medicine,40955094,10.1002/mrm.70073,include,include,include,include,include,AGREE,yes,,,
K141,2022,FReSCO: Flow Reconstruction and Segmentation for low-latency Cardiac Output monitoring using deep artifact suppression and segmentation.,Magnetic resonance in medicine,35781891,10.1002/mrm.29374,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K142,2026,"Quality assessment and control of unprocessed anatomical, functional and diffusion MRI of the human brain using MRIQC",Nature Protocols,,10.1038/s41596-026-01352-y,exclude,exclude,exclude,exclude,background_only,,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K143,2022,Learning residual motion correction for fast and robust 3D multiparametric MRI.,Medical image analysis,35180675,10.1016/j.media.2022.102387,include,include,include,include,include,AGREE,yes,,,
K144,2024,Removal of electrical stimulus artifact in local field potential recorded from subthalamic nucleus,,,10.1016/j.jneumeth.2023.110038,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K145,2016,Motion robust GRAPPA for echo-planar imaging.,Magnetic resonance in medicine,25920076,10.1002/mrm.25705,include,include,include,include,exclude,DISAGREE,yes,,,
K146,2025,Tau Pet Harmonization via Surface-Based Diffusion Model,2025 IEEE 22nd International Symposium on Biomedical Imaging (ISBI),,10.1109/isbi60581.2025.10981166,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K147,2024,NPB-REC: A non-parametric Bayesian deep-learning approach for undersampled MRI reconstruction with uncertainty estimation.,Artificial intelligence in medicine,38462289,10.1016/j.artmed.2024.102798,include,include,include,include,include,AGREE,yes,,,
K148,2013,Automated transmission-mode scanning electron microscopy (tSEM) for large volume analysis at nanoscale resolution.,PloS one,23555711,10.1371/journal.pone.0059573,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K149,2021,Multi-shot Calibration Technique for Microwave Imaging Systems,,,10.1109/cama49227.2021.9703495,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K150,2023,"Deep self-learning enables fast, high-fidelity isotropic resolution restoration for volumetric fluorescence microscopy",Light: Science & Applications,,10.1038/s41377-023-01230-2,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K151,2026,Comparing XAI Explanations and Synthetic Data Augmentation Strategies in Neuroimaging AI,Explainable Artificial Intelligence,,10.1007/978-3-032-08330-2_1,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_outcome,wrong_intervention_or_index,wrong_intervention_or_index
K152,2026,Regression Is All You Need for Medical Image Translation.,IEEE transactions on medical imaging,41477795,10.1109/TMI.2025.3650412,include,include,include,include,include,AGREE,yes,,,
K153,2025,Motion impact score for detecting spurious brain-behavior associations.,Nature communications,41022827,10.1038/s41467-025-63661-2,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_outcome,wrong_intervention_or_index
K154,2023,Fast Non-Markovian Diffusion Model for Weakly Supervised Anomaly Detection in Brain MR Images,,,10.1007/978-3-031-43904-9/56,include,exclude,exclude,exclude,exclude,AGREE,no,,wrong_outcome,wrong_intervention_or_index
K155,2020,"Impact of prospective motion correction, distortion correction methods and large vein bias on the spatial accuracy of cortical laminar fMRI at 9.4 Tesla.",NeuroImage,31812715,10.1016/j.neuroimage.2019.116434,include,include,include,include,exclude,DISAGREE,yes,,,
K156,2021,T1 -FLAIR imaging during continuous head motion: Combining PROPELLER with an intelligent marker.,Magnetic resonance in medicine,32871026,10.1002/mrm.28477,include,include,include,include,exclude,DISAGREE,yes,,,
K157,2021,Calibrationless parallel imaging reconstruction for multislice MR data using low-rank tensor completion,,,10.1002/mrm.28480,include,include,include,include,exclude,DISAGREE,yes,,,
K158,2023,Physics-Based Deep Learning for Imaging Neuronal Activity via Two-Photon a,,,10.1109/tci.2023.3282052,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K159,2021,Brain Tissue Conductivity Measurements with MR-Electrical Properties Tomography: An In Vivo Study.,Brain topography,33289858,10.1007/s10548-020-00813-1,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K160,2021,Unexpected external markers artifact in 3D k-space based parallel imaging turbo spin-echo MRI,Physica Medica,,10.1016/j.ejmp.2021.10.001,include,include,include,include,exclude,DISAGREE,yes,,,
K161,2004,Generative and recognition models for neuroanatomy,,,10.1016/j.neuroimage.2004.04.021,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K162,2018,Geometry processing of conventionally produced mouse brain slice images.,Journal of neuroscience methods,29689283,10.1016/j.jneumeth.2018.04.008,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K163,2024,Brain-wide functional connectivity artifactually inflates throughout functional magnetic resonance imaging scans.,Nature human behaviour,38898230,10.1038/s41562-024-01908-6,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K164,2026,Latent Causal Modeling for 3D Brain MRI Counterfactuals,Deep Generative Models,,10.1007/978-3-032-05472-2_19,exclude,exclude,exclude,exclude,include,DISAGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K165,2023,Validation of an automatic software in assessing fetal brain volume from three dimensional ultrasonographic volumes: Comparison with manual analysis.,Journal of clinical ultrasound : JCU,37307382,10.1002/jcu.23509,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K166,2019,Model-based reconstruction framework for correction of signal pile-up and geometric distortions in prostate diffusion MRI.,Magnetic resonance in medicine,30393895,10.1002/mrm.27547,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K167,2024,Improving MRI Resolution: A Cycle Consistent Generative Adversarial Network-Based Approach for 3T to 7T Translation,IEEE Access,10614315,10.1109/access.2024.3430968,include,include,include,include,exclude,DISAGREE,yes,,,
K168,2019,Discussion on the Application of Multi-modal Magnetic Resonance,,,10.1007/s10916-019-1215-7,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K169,2024,Orthogonal Mixed-Effects Modeling for High-Dimensional Longitudinal Data,,,10.1109/tmi.2024.3435855,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K170,2025,SISMIK for Brain MRI: Deep-Learning-Based Motion Estimation and Model-Based Motion Correction in k-Space.,IEEE transactions on medical imaging,39159019,10.1109/tmi.2024.3446450,include,include,include,include,include,AGREE,yes,,,
K171,2026,Enhanced Spinal Cord Lesion Detection in MS Using White-Matter-Nulled 3D MPRAGE with Deep Learning Reconstruction,AJNR Am J Neuroradiol,,10.3174/ajnr.a8950,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K172,2019,Data-driven synthetic MRI FLAIR artifact correction via deep neural network.,,30884007,,include,include,include,include,include,AGREE,yes,,,
K173,2010,Comprehensive quantitative image quality evaluation of compressed sensing MRI reconstructions using a weighted perceptual difference model,,,10.1117/12.845507,include,include,include,include,include,AGREE,yes,,,
K174,2017,Single-step quantitative susceptibility mapping with variational penalties.,NMR in biomedicine,27332141,10.1002/nbm.3570,include,include,include,include,exclude,DISAGREE,yes,,,
K175,2015,Functional magnetic resonance imaging.,British journal of hospital medicine,26646346,10.12968/hmed.2015.76.12.C189,exclude,exclude,exclude,exclude,background_only,,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K176,2021,CS-VIBE accelerates cranial nerve MR imaging for the diagnosis,,,10.1007/s00330-021-08102-6,include,include,include,include,exclude,DISAGREE,yes,,,
K177,2019,How to map the brain.,Nature,31341309,10.1038/d41586-019-02208-0,exclude,exclude,exclude,exclude,exclude,AGREE,yes,review_editorial_protocol_commentary,review_editorial_protocol_commentary,review_editorial_protocol_commentary
K178,2026,Simulation Data-Based Dual Domain Network (Sim-DDNet) for Motion Artifact Reduction in MR Images,MAGNETOCHEMISTRY,,10.3390/magnetochemistry12010014,unsure,unsure,unsure,unsure,include,,yes,,,
K179,2025,Estimating Uncertainty on Deep Learning-Driven Fibre Orientation Distribution Enhancement,,,10.1007/978-981-96-6957-8/25,include,include,include,include,include,AGREE,yes,,,
K180,2023,Interrater Reliability of Cervical Neural Foraminal Stenosis Using Traditional and Splayed Reconstructions,World Neurosurgery,,10.1016/j.wneu.2023.03.079,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K181,2024,Distortion-free water-fat separated diffusion-weighted imaging using spatiotemporal joint reconstruction.,Magnetic resonance in medicine,39051729,10.1002/mrm.30221,include,include,include,include,exclude,DISAGREE,yes,,,
K182,2023,SADIR: Shape-Aware Diffusion Models for 3D Image Reconstruction,Shape in Medical Imaging,,10.1007/978-3-031-46914-5_23,include,include,include,include,include,AGREE,yes,,,
K183,2020,Deep Learning PET Epilepsy Detection with a Novel Symmetric Loss Convolutional Autoencoder,2020 IEEE Nuclear Science Symposium and Medical Imaging Conference (NSS/MIC),,10.1109/nss/mic42677.2020.9507980,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K184,2020,The developing Human Connectome Project (dHCP) automated resting-state functional processing framework for newborn infants.,NeuroImage,32866666,10.1016/j.neuroimage.2020.117303,include,include,exclude,include,exclude,DISAGREE,no,,,wrong_intervention_or_index
K185,2020,Synthetic MRI of Preterm Infants at Term-Equivalent Age: Evaluation of Diagnostic Image Quality and Automated Brain Volume Segmentation.,AJNR. American journal of neuroradiology,32299803,10.3174/ajnr.a6533,unsure,include,include,include,include,AGREE,no,,,
K186,2024,Deep learning-accelerated image reconstruction in back pain-MRI imaging: reduction of acquisition time and improvement of image quality.,La Radiologia medica,38349416,10.1007/s11547-024-01787-x,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K187,2022,Deep attentive spatio-temporal feature learning for automatic resting-state fMRI denoising.,NeuroImage,35337965,10.1016/j.neuroimage.2022.119127,include,exclude,exclude,exclude,exclude,AGREE,no,,wrong_outcome,wrong_intervention_or_index
K188,2019,Evaluation of 3D fat-navigator based retrospective motion correction in the clinical setting of patients with brain tumors.,Neuroradiology,30671618,10.1007/s00234-019-02160-w,include,include,include,include,include,AGREE,yes,,,
K189,2026,DEEP-DISORDER: Motion Correction in 3D MRI via Segment Reconstruction and Registration.,NMR in biomedicine,41958180,10.1002/nbm.70286,include,include,include,include,include,AGREE,yes,,,
K190,2026,A Two-Stage Deep Learning Pipeline for Medical Image Restoration Using DRUNet and Real-ESRGAN,,,10.1109/imcet69180.2026.11503758,exclude,include,include,include,exclude,DISAGREE,no,wrong_population,,
K191,2026,"Simulation-based inference at the theoretical limit for fast, robust microstructural MRI with minimal diffusion data",Communications Medicine,,10.1038/s43856-026-01614-6,include,unsure,unsure,unsure,include,,no,,,
K192,2025,Diffusion Models for Neuroimaging Data Augmentation: Assessing Realism and Clinical Relevance,Journal of Medical Systems,,10.1007/s10916-025-02300-1,exclude,exclude,exclude,exclude,include,DISAGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K193,2025,Portable head CT motion artifact correction via diffusion-based generative model.,Computerized medical imaging and graphics,39705889,10.1016/j.compmedimag.2024.102478,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K194,2020,Technical Note - Optimization of quantitative susceptibility mapping by streaking artifact detection,,,10.1002/mp.14460,include,include,include,include,exclude,DISAGREE,yes,,,
K195,2005,Quality evaluation of fast morphing interpolation model for 3D volume reconstruction,"Proceedings of the Fifth IEEE International Symposium on Signal Processing and Information Technology, 2005.",,10.1109/ISSPIT.2005.1577201,unsure,unsure,unsure,unsure,include,,yes,,,
K196,2025,Enhancing the reliability of Alzheimers disease prediction in MRI images,Computers in Biology and Medicine,,10.1016/j.compbiomed.2025.111111,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K197,2025,Schizophrenia detection from electroencephalogram signals using image encoding and wrapper-based deep feature selection approach.,Scientific reports,40594257,10.1038/s41598-025-06121-7,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K198,2022,Multifrequency Magnetic Induction Tomography for Hemorrhagic Stroke Detect,,,10.1109/tim.2022.3180406,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K199,2020,Reduction of beam hardening artifacts on real C-arm CT data,,,10.1016/j.zemedi.2019.10.002,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K200,2025,Image SNR Enhancement for a Short Axial FOV Brain PET System Using Generative Deep Learning,IEEE Transactions on Radiation and Plasma Medical Sciences,,10.1109/trpms.2025.3560667,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K201,2021,MC2-Net - motion correction network for multi-contrast brain MRI,,,10.1002/mrm.28719,include,include,include,include,exclude,DISAGREE,yes,,,
K202,2024,EEG Signal Denoising Using Beta-Variational Autoencoder,,,10.1109/embc53108.2024.10782962,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K203,2025,High-Fidelity MRI Assessment of Cerebral Perfusion in Healthy Neonates Less Than 1 Week of Age.,Journal of magnetic resonance imaging : JMRI,39945520,10.1002/jmri.29740,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K204,2024,Iterative Motion Correction Technique with Deep Learning Reconstruction for Brain MRI: A Volunteer and Patient Study.,Journal of imaging informatics in medicine,38942939,10.1007/s10278-024-01184-w,include,include,include,include,include,AGREE,yes,,,
K205,2025,Digital twin brain simulator for real-time consciousness monitoring and virtual intervention using primate electrocorticogram data,npj Digital Medicine,,10.1038/s41746-025-01444-1,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K206,2019,Assessment of quiet T2 weighted PROPELLER sequence in pediatric abdominal imaging,,,10.1016/j.clinimag.2018.09.014,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K207,2025,Probabilistic brain MR image transformation using generative models,Scientific Reports,,10.1038/s41598-025-31958-3,include,unsure,exclude,unsure,include,,no,,,wrong_intervention_or_index
K208,2021,Deep learning-based parameter estimation in fetal diffusion-weighted MRI.,NeuroImage,34455242,10.1016/j.neuroimage.2021.118482,include,include,unsure,include,include,AGREE,no,,,
K209,2017,Auditory steady state responses and cochlear implants: Modeling the artifact-response mixture in the perspective of denoising.,PloS one,28350887,10.1371/journal.pone.0174462,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K210,2025,Deep Self-Attention Enhanced Multi-Attribute Constrained Matrix Factorization,,,10.1109/bibm66473.2025.11356842,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K211,2024,Identifying Patients with CSF-Venous Fistula Using Brain MRI: A Deep Learning Approach.,AJNR. American journal of neuroradiology,38423747,10.3174/ajnr.a8173,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_intervention_or_index,wrong_intervention_or_index,wrong_intervention_or_index
K212,2024,Automatic Reconstruction of Deep Brain Stimulation Lead Trajectories From CT Images Using Tracking and Morphological Ana,,,,exclude,exclude,exclude,exclude,exclude,AGREE,yes,wrong_population,wrong_population,wrong_population
K213,2023,Cycle-consistent GAN for Super-resolution of Brain MRI images,,,10.1109/embc40787.2023.10340042,include,include,include,include,exclude,DISAGREE,yes,,,
K214,2019,Compressed sensing MRI of different organs ready for clinical daily practice,,,10.1007/s00330-019-06319-0,include,include,include,include,include,AGREE,yes,,,
